Date,Open,High,Low,Close,Volume,Change
2020-01-02,195000,196000,184000,184000,37808,-0.016042780748663055
2020-01-03,184000,185500,178500,179000,25522,-0.02717391304347827
2020-01-06,175000,179000,173000,174500,16747,-0.025139664804469275
2020-01-07,175500,179000,174000,179000,13378,0.025787965616045794
2020-01-08,177000,177500,167000,169500,28561,-0.05307262569832405
2020-01-09,174500,178000,172000,175000,11721,0.032448377581120846
2020-01-10,175000,194000,173500,184500,132720,0.05428571428571427
2020-01-13,183000,184500,179000,180500,25380,-0.02168021680216803
2020-01-14,181000,189000,180000,183000,28056,0.013850415512465464
2020-01-15,184000,186000,181000,183500,14000,0.002732240437158362
2020-01-16,182000,184500,180500,183000,15157,-0.0027247956403270157
2020-01-17,180000,183000,179500,181000,15784,-0.010928961748633892
2020-01-20,182000,183500,178500,179000,13309,-0.011049723756906049
2020-01-21,180000,180000,175000,175500,12217,-0.019553072625698276
2020-01-22,175500,177500,174500,177000,8463,0.008547008547008517
2020-01-23,178000,178000,173500,173500,11821,-0.019774011299435013
2020-01-28,166500,172500,163500,169000,19300,-0.025936599423631135
2020-01-29,169500,173500,168000,172000,7808,0.01775147928994092
2020-01-30,171000,176500,170500,174500,13879,0.014534883720930258
2020-01-31,171500,174500,168500,169000,10129,-0.03151862464183386
2020-02-03,163000,168500,163000,168500,12446,-0.00295857988165682
2020-02-04,168000,175000,165500,171500,12872,0.017804154302670572
2020-02-05,174000,176000,171500,172500,13148,0.005830903790087438
2020-02-06,173000,175500,172500,174500,6017,0.011594202898550732
2020-02-07,173500,175000,172500,173500,4217,-0.005730659025787954
2020-02-10,172000,173000,171000,172500,5573,-0.0057636887608069065
2020-02-11,172000,176000,172000,174500,5528,0.011594202898550732
2020-02-12,175000,176500,171500,175000,9526,0.002865329512893977
2020-02-13,176000,178500,175000,175500,11793,0.0028571428571428914
2020-02-14,174500,176000,173500,174500,8227,-0.005698005698005715
2020-02-17,172000,174500,171000,173000,7307,-0.008595988538681931
2020-02-18,174000,174500,171000,172000,6377,-0.005780346820809301
2020-02-19,172500,173500,170000,172000,10838,0.0
2020-02-20,171000,173000,169000,170000,9034,-0.011627906976744207
2020-02-21,168500,170500,166000,170000,11310,0.0
2020-02-24,166000,171500,165500,169500,22155,-0.002941176470588225
2020-02-25,167500,173500,167500,172500,6910,0.017699115044247815
2020-02-26,169500,175500,169500,175500,8604,0.017391304347825987
2020-02-27,171500,173500,168500,169000,13155,-0.03703703703703709
2020-02-28,167500,171000,163000,163500,11501,-0.03254437869822491
2020-03-02,163500,165000,161500,162000,8101,-0.00917431192660545
2020-03-03,164000,166500,160500,161000,9379,-0.006172839506172867
2020-03-04,163000,166000,161500,166000,11585,0.03105590062111796
2020-03-05,167000,173500,166500,170500,7975,0.027108433734939652
2020-03-06,170000,170000,166000,167000,5746,-0.02052785923753664
2020-03-09,164000,165000,157000,157500,13902,-0.05688622754491013
2020-03-10,152500,158000,149000,154500,12121,-0.01904761904761909
2020-03-11,158000,163500,150000,152000,17442,-0.016181229773462813
2020-03-12,149000,153000,137000,138000,19883,-0.09210526315789469
2020-03-13,121000,131500,117500,126500,38887,-0.08333333333333337
2020-03-16,126000,130000,115000,115000,24193,-0.09090909090909094
2020-03-17,105000,114500,103000,109000,25395,-0.05217391304347829
2020-03-18,112000,113500,103500,103500,18426,-0.050458715596330306
2020-03-19,103500,108000,87100,88000,33390,-0.1497584541062802
2020-03-20,89500,94000,86800,93800,29809,0.06590909090909092
2020-03-23,85200,91200,84700,89500,17597,-0.04584221748400852
2020-03-24,92500,114000,90000,111000,40085,0.24022346368715075
2020-03-25,116000,124000,106500,114500,46487,0.03153153153153143
2020-03-26,116500,119000,111000,113000,26996,-0.013100436681222738
2020-03-27,118500,120500,110500,114500,26231,0.01327433628318575
