Date,Open,High,Low,Close,Volume,Change
2020-01-02,2295,2315,2280,2315,38562,0.006521739130434856
2020-01-03,2320,2320,2275,2295,77224,-0.008639308855291628
2020-01-06,2285,2285,2250,2260,68807,-0.015250544662309351
2020-01-07,2245,2270,2245,2270,57299,0.004424778761061843
2020-01-08,2260,2260,2145,2185,86420,-0.037444933920704804
2020-01-09,2230,2230,2205,2220,60024,0.016018306636155666
2020-01-10,2220,2245,2200,2225,65073,0.0022522522522523403
2020-01-13,2215,2245,2195,2235,108363,0.004494382022471877
2020-01-14,2225,2255,2225,2245,55024,0.004474272930648837
2020-01-15,2240,2255,2230,2245,49692,0.0
2020-01-16,2240,2270,2240,2255,50164,0.00445434298440972
2020-01-17,2260,2270,2250,2265,29029,0.0044345898004434225
2020-01-20,2270,2270,2250,2260,58420,-0.002207505518763808
2020-01-21,2255,2265,2200,2230,127503,-0.013274336283185861
2020-01-22,2215,2245,2215,2240,32041,0.004484304932735439
2020-01-23,2235,2240,2210,2240,27314,0.0
2020-01-28,2200,2205,2130,2175,179591,-0.029017857142857095
2020-01-29,2175,2180,2160,2180,62243,0.0022988505747125743
2020-01-30,2175,2180,2100,2140,107836,-0.01834862385321101
2020-01-31,2140,2160,2095,2095,56374,-0.0210280373831776
2020-02-03,2055,2100,2035,2100,85501,0.0023866348448686736
2020-02-04,2100,2130,2100,2120,39789,0.00952380952380949
2020-02-05,2125,2135,2105,2130,43342,0.004716981132075526
2020-02-06,2135,2145,2115,2140,66149,0.0046948356807512415
2020-02-07,2135,2140,2100,2120,112581,-0.009345794392523366
2020-02-10,2130,2175,2125,2150,138505,0.014150943396226356
2020-02-11,2185,2225,2130,2180,171448,0.013953488372093092
2020-02-12,2180,2205,2160,2205,52417,0.011467889908256979
2020-02-13,2205,2250,2195,2215,168533,0.0045351473922903285
2020-02-14,2205,2260,2190,2250,136920,0.015801354401805856
2020-02-17,2250,2250,2200,2210,94482,-0.01777777777777778
2020-02-18,2200,2210,2185,2195,39227,-0.006787330316742057
2020-02-19,2195,2215,2180,2205,55613,0.004555808656036442
2020-02-20,2200,2210,2175,2185,32522,-0.009070294784580546
2020-02-21,2180,2180,2135,2140,59241,-0.020594965675057253
2020-02-24,2110,2110,2070,2080,109643,-0.028037383177570097
2020-02-25,2080,2110,2065,2105,52242,0.012019230769230838
2020-02-26,2080,2100,2025,2100,102910,-0.002375296912114022
2020-02-27,2095,2095,2035,2035,74974,-0.030952380952380953
2020-02-28,2025,2025,1945,1945,228456,-0.04422604422604426
2020-03-02,1945,1970,1930,1945,66106,0.0
2020-03-03,1970,1990,1955,1970,234885,0.01285347043701801
2020-03-04,1975,1985,1945,1985,143832,0.0076142131979695105
2020-03-05,1990,2025,1990,2025,41735,0.02015113350125941
2020-03-06,2015,2015,1970,1980,98879,-0.022222222222222254
2020-03-09,1970,1970,1915,1925,165077,-0.02777777777777779
2020-03-10,1860,1910,1860,1910,79520,-0.007792207792207795
2020-03-11,1910,2050,1860,1880,705291,-0.015706806282722474
2020-03-12,2000,2070,1805,1810,1204582,-0.037234042553191515
2020-03-13,1655,1700,1550,1660,367879,-0.08287292817679559
2020-03-16,1660,1710,1600,1610,177258,-0.030120481927710885
2020-03-17,1405,1570,1405,1500,567598,-0.06832298136645965
2020-03-18,1555,1645,1420,1420,572992,-0.053333333333333344
2020-03-19,1420,1495,1230,1240,311632,-0.12676056338028174
2020-03-20,1205,1360,1205,1350,364344,0.08870967741935476
2020-03-23,1275,1285,1210,1270,194446,-0.059259259259259234
2020-03-24,1295,1390,1290,1360,145493,0.07086614173228356
2020-03-25,1395,1425,1370,1410,240284,0.03676470588235303
2020-03-26,1410,1485,1395,1425,313632,0.010638297872340496
2020-03-27,1470,1545,1395,1425,284476,0.0
2020-03-30,1385,1520,1370,1500,208593,0.05263157894736836
2020-03-31,1515,1595,1480,1540,217734,0.026666666666666616
2020-04-01,1595,1630,1525,1530,312087,-0.00649350649350644
2020-04-02,1520,1545,1495,1530,133289,0.0
2020-04-03,1550,1585,1525,1545,72017,0.009803921568627416
2020-04-06,1545,1625,1535,1625,178965,0.05177993527508096
2020-04-07,1695,1730,1640,1680,252233,0.03384615384615386
2020-04-08,1680,1700,1630,1665,120763,-0.008928571428571397
